RANK,CODETEAM,PLAYER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
221,BAR,"PARRA, JOEL",P007464,26,340.35,25.5,1.38,70.9
222,RED,"SMART, JAVONTE",P012801,12,210.13,20.06,1.38,70.9
223,TEL,"MENCO, RAFI",P004233,20,165.26,16.8,1.31,70.8
224,PAN,"MANTZOUKAS, ELEFTHERIOS",P008084,13,101.67,12.65,1.25,70.7
225,TEL,"THOMASSON, JOE",P012095,3,24.83,6.3,1.26,70.7
226,MAD,"RODRIGUEZ, SERGIO",PCVM,27,404.92,23.95,1.19,70.6
227,PAM,"ANDERSON, JUSTIN",P012795,18,336.53,22.3,1.22,70.6
228,PAM,"CLAVER, VICTOR",P000556,21,310.16,20.74,1.18,70.6
229,MUN,"GILLESPIE, FREDDIE",P011941,13,119.54,13.1,1.2,70.6
230,PAN,"PAPAPETROU, IOANNIS",P005161,9,117.42,12.75,1.18,70.6
231,BAR,"PAULI,  ORIOL",P003204,14,93.25,11.51,1.19,70.6
232,RED,"KUZMIC, OGNJEN",P003479,3,20.54,5.4,1.19,70.6
233,MIL,"CARUSO, GUGLIELMO",P006721,5,10.71,3.95,1.21,70.6
234,BER,"SCHNEIDER, TIM",P006251,33,530.34,25.19,1.09,70.5
235,BAS,"CHRIS, CHIOZZA",P012765,21,229.85,17.4,1.15,70.5
236,MUN,"RADONCIC, DINO",P006543,16,143.92,13.5,1.13,70.5
237,BER,"SPAGNOLO, MATTEO",P008173,25,512.35,24.65,1.09,70.4
238,PAR,"TRIFUNOVIC, UROS",P007673,19,264.43,17.19,1.06,70.4
239,BAS,"MANNION, NICCOLO",P011064,8,110.4,10.85,1.03,70.4
240,BER,"RAPIEQUE, ELIAS",P011631,6,26.48,5.35,1.04,70.4
241,ZAL,"MONTVILA, NEDAS",P012784,4,3.36,1.9,1.04,70.4
242,RED,"TOPIC, NIKOLA",P010985,2,30.75,5.0,0.9,70.2
243,BER,"MATTISSECK, JONAS",P007025,26,316.02,14.09,0.79,70.0
244,BAS,"DIOP, KHALIFA",P008072,13,122.53,9.05,0.82,70.0
245,ASV,"LIGHTY, DAVID",P003526,29,474.43,16.3,0.75,69.9
246,PAM,"PUERTO, JOSEP",P006643,25,331.9,12.84,0.71,69.9
247,BAS,"THEODORE, JORDAN",P007946,10,108.56,5.8,0.56,69.6
248,MIL,"PANGOS, KEVIN",P006433,5,123.82,5.0,0.45,69.5
249,PAN,"GUY, KYLE",P011826,8,85.17,4.55,0.49,69.5
250,BER,"NIKIC, KRESIMIR",P006819,17,104.28999999999999,4.55,0.45,69.5
251,MUN,"WIMBERG, NIKLAS",P005478,12,93.57000000000001,4.45,0.46,69.5
252,MIL,"BARON, BILLY",P005775,3,47.18,2.55,0.37,69.4
253,ZAL,"BUTKA, DOVYDAS",P010184,3,11.299999999999999,1.35,0.4,69.4
254,RED,"SIMONOVIC, MARKO",P012711,11,82.77,2.9,0.32,69.3
255,MUN,"KHARCHENKOV, IVAN",P012123,4,35.09,1.75,0.3,69.3
256,IST,"ONCEL, RIDVAN",P010400,2,10.19,0.95,0.3,69.3
257,PAM,"ROBERTSON, KASSIUS",P012740,30,471.29,6.0,0.28,69.2
258,RED,"LAZIC, BRANKO",PLUO,22,303.19,4.45,0.26,69.2
259,MAD,"ALOCEN, CARLOS",P010623,12,105.64,2.45,0.24,69.2
260,VIR,"LOMAZS, RIHARDS",P005553,8,62.6,1.85,0.23,69.2
261,PAM,"FERRANDO, GUILLEM",P009101,6,49.27,1.15,0.16,69.1
262,RED,"LAZAREVIC, STEFAN",P004720,19,132.06,1.85,0.16,69.0
263,MIL,"RICCI, GIAMPAOLO",P001518,22,152.93,1.41,0.11,69.0
264,ULK,"MAHMUTOGLU, MELIH",P002969,9,40.89,0.49,0.08,68.9
265,ZAL,"MITROU-LONG, NAZ",P011965,9,92.14,0.35,0.04,68.9
266,BAR,"JAKUCIONIS, KASPARAS",P012197,1,1.57,0.05,0.04,68.9
267,MCO,"TARPEY, TERRY",P012515,6,59.89,0.1,0.01,68.8
268,PAM,"HERMANNSSON, MARTIN",P008780,4,40.53,-0.15,-0.02,68.8
269,PAM,"PANGOS, KEVIN",P006433,12,162.84,-1.25,-0.1,68.7
270,ASV,"NOAM, YAACOV",P011386,26,261.43,-2.11,-0.13,68.6
271,VIR,"MASCOLO, BRUNO",P012713,2,9.77,-0.6,-0.19,68.5
272,OLY,"TANOULIS, GEORGIOS",P010631,1,1.08,-0.3,-0.29,68.4
273,IST,"YILDIZLI, BURAKCAN",P004093,1,1.55,-0.35,-0.28,68.4
274,IST,"TUNCA, MELIH",P012415,3,4.88,-0.55,-0.25,68.4
275,BER,"SAMAR, ZIGA",P007550,14,174.2,-3.85,-0.29,68.4
276,ZAL,"LUKOSIUNAS, KAROLIS",P006158,1,11.68,-1.1,-0.32,68.3
277,OLY,"PAPAS, GEORGE",P012023,2,6.33,-1.0,-0.4,68.2
278,TEL,"MAYER, OMER",P011433,5,15.29,-1.65,-0.42,68.2
279,MUN,"WEIDEMANN, NELSON",P006245,6,27.0,-2.25,-0.43,68.2
280,ULK,"MESTOGLU, HAMZA",P012724,1,2.42,-0.75,-0.48,68.1
