GAMECODE,CODETEAM,joueur_1,TIME,DELTA_SCORE,OFF,DEF
20,PAM,P011982,0 days 00:19:46,7,48,41
20,PAM,P011980,0 days 00:17:22,18,46,28
20,PAM,P006643,0 days 00:17:01,19,50,31
20,PAM,P004863,0 days 00:15:52,18,45,27
20,PAM,P010444,0 days 00:13:47,14,40,26
20,PAM,P005356,0 days 00:13:37,14,38,24
20,PAM,P012738,0 days 00:13:16,20,40,20
20,PAM,P009864,0 days 00:12:57,-7,25,32
20,PAM,P004548,0 days 00:09:54,6,24,18
20,HAM,P013312,0 days 00:29:11,-4,65,69
20,HAM,P013309,0 days 00:24:51,-10,50,60
20,HAM,P003242,0 days 00:23:22,-7,51,58
20,HAM,P013313,0 days 00:20:43,1,50,49
20,HAM,P013308,0 days 00:18:46,-14,36,50
20,HAM,P013311,0 days 00:18:21,-13,34,47
20,HAM,P011256,0 days 00:17:28,-17,36,53
20,HAM,P010070,0 days 00:17:12,-20,27,47
20,HAM,P006006,0 days 00:12:46,-11,23,34
20,HAM,P006420,0 days 00:10:31,-21,13,34
20,HAM,P012695,0 days 00:06:49,-19,5,24
21,TSO,P009649,0 days 00:33:03,5,66,61
21,TSO,P012019,0 days 00:29:00,-9,48,57
21,TSO,P013295,0 days 00:26:06,10,48,38
21,TSO,P013297,0 days 00:23:34,-13,34,47
21,TSO,P003885,0 days 00:19:22,5,44,39
21,TSO,P013298,0 days 00:19:09,-10,38,48
21,TSO,P013296,0 days 00:18:46,1,33,32
21,TSO,P008790,0 days 00:18:18,-3,35,38
21,TSO,P013293,0 days 00:10:18,-5,16,21
21,TSO,P013292,0 days 00:02:24,-6,3,9
21,JOV,P013287,0 days 00:31:31,10,62,52
21,JOV,P012740,0 days 00:27:30,6,62,56
21,JOV,P013285,0 days 00:27:12,13,53,40
21,JOV,P002507,0 days 00:23:31,-1,37,38
21,JOV,P005099,0 days 00:21:42,1,50,49
21,JOV,P002361,0 days 00:18:36,9,42,33
21,JOV,P004834,0 days 00:16:29,6,41,35
21,JOV,P010161,0 days 00:15:43,-3,22,25
21,JOV,P012349,0 days 00:08:27,-8,13,21
21,JOV,P013286,0 days 00:06:12,-7,3,10
21,JOV,P006771,0 days 00:03:07,-1,5,6
22,WOL,P005516,0 days 00:31:50,-9,61,70
