Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
26,MUN,P007056,26.199,-6,55,61
26,MUN,P007201,19.216,-7,39,46
26,MUN,P007639,5.833,-11,6,17
26,MUN,P010391,27.466,4,63,59
26,MUN,P011052,5.883,-10,6,16
26,MUN,P011224,24.965,-4,47,51
26,MUN,P011244,15.999,-2,26,28
26,MUN,P011987,26.048,-10,47,57
26,MUN,P012123,9.733,-4,14,18
26,PAR,P004761,22.152,4,50,46
26,PAR,P006591,27.669,13,61,48
26,PAR,P006760,22.701,8,52,44
26,PAR,P007632,7.116,-7,6,13
26,PAR,P007870,12.834,4,30,26
26,PAR,P008232,15.2,-2,28,30
26,PAR,P010781,17.018,6,41,35
26,PAR,P011050,7.2,-9,8,17
26,PAR,P011981,19.951,13,48,35
26,PAR,P012720,24.935,3,56,53
26,PAR,P013369,23.234,7,50,43
27,IST,P004887,30.217,8,79,71
27,IST,P006590,18.05,1,41,40
27,IST,P006640,7.583,-9,13,22
27,IST,P007109,14.601,-14,20,34
27,IST,P007200,23.416,5,61,56
27,IST,P009664,11.383,-3,25,28
27,IST,P011078,28.101,6,67,61
27,IST,P012710,21.233,1,48,47
27,IST,P012788,6.016,-4,10,14
27,IST,P013363,30.849,4,73,69
27,IST,P013364,8.551,-5,18,23
27,TEL,P004233,5.367,-7,9,16
27,TEL,P005145,10.385,16,35,19
27,TEL,P006835,34.203,-2,79,81
27,TEL,P007990,21.369,13,54,41
27,TEL,P011193,26.502,-7,64,71
27,TEL,P011214,21.634,4,47,43
27,TEL,P011219,24.951,-10,52,62
27,TEL,P013381,0.167,-2,0,2
27,TEL,P013382,32.968,-9,67,76
27,TEL,P013389,22.469,14,58,44
25,BAR,P000925,19.1,8,40,32
25,BAR,P002939,20.217,13,44,31
25,BAR,P003196,18.417,18,49,31
25,BAR,P003478,12.65,10,27,17
25,BAR,P006435,17.316,4,37,33
25,BAR,P009862,24.984,18,58,40
25,BAR,P009992,15.033,1,32,31
25,BAR,P010106,6.767,-1,13,14
25,BAR,P012745,29.3,7,61,54
25,BAR,P012795,17.483,-5,33,38
25,BAR,P013379,18.733,2,36,34
25,MCO,P002581,28.35,-10,51,61
25,MCO,P005844,9.484,-9,13,22
25,MCO,P005985,23.533,-21,36,57
25,MCO,P008099,14.818,2,31,29
25,MCO,P009754,23.25,-12,37,49
25,MCO,P011212,25.201,-4,46,50
25,MCO,P011226,26.368,-2,52,54
25,MCO,P011231,29.767,-19,48,67
25,MCO,P013365,6.234,5,16,11
25,MCO,PLCZ,13.0,-5,25,30
28,BER,P006251,15.35,1,36,35
28,BER,P006919,25.582,2,55,53
28,BER,P007025,11.4,0,19,19
28,BER,P008062,14.483,-9,19,28
28,BER,P008173,24.166,1,48,47
28,BER,P008384,4.433,-8,4,12
28,BER,P008780,25.516,2,52,50
28,BER,P010791,16.9,-4,22,26
28,BER,P011934,20.516,-10,31,41
28,BER,P012604,24.349,1,46,45
28,BER,P012721,17.3,-11,23,34
28,ULK,P002849,21.098,1,42,41
28,ULK,P002968,6.533,-6,6,12
28,ULK,P006961,23.798,8,50,42
28,ULK,P007182,7.865,2,14,12
28,ULK,P008104,17.332,8,31,23
28,ULK,P008962,26.515,0,54,54
28,ULK,P009783,16.882,-1,30,31
28,ULK,P009863,27.331,-1,56,57
28,ULK,P010560,17.332,9,33,24
28,ULK,P011205,17.766,3,39,36
28,ULK,PLMG,17.533,12,35,23
29,MIL,P000796,31.234,6,69,63
29,MIL,P001392,4.516,2,9,7
29,MIL,P001518,19.018,-2,36,38
29,MIL,P006085,23.817,-9,43,52
29,MIL,P006509,15.367,-2,34,36
29,MIL,P007831,29.084,-2,59,61
29,MIL,P008985,22.601,-12,48,60
29,MIL,P008987,28.95,-7,55,62
29,MIL,P013384,11.234,1,24,23
29,MIL,P013385,8.934,5,21,16
29,MIL,P013386,5.25,5,12,7
29,ZAL,P002329,27.916,2,59,57
29,ZAL,P002676,15.633,-9,24,33
29,ZAL,P003048,8.866,-6,12,18
29,ZAL,P003210,10.434,0,23,23
29,ZAL,P005504,14.251,1,30,29
29,ZAL,P007029,22.6,19,61,42
29,ZAL,P007513,34.399,9,76,67
29,ZAL,P007975,21.734,2,44,42
29,ZAL,P011051,16.833,8,43,35
29,ZAL,P011983,4.017,-10,3,13
29,ZAL,P012622,21.85,-2,47,49
29,ZAL,P012715,1.467,1,3,2
30,MUN,P004508,23.233,-2,59,61
