TEAM,NAME,PLAYER_ID,NAT,LINK
CLU,"SOMACESCU, TUDOR",P013301,ROU,https://media-cdn.incrowdsports.com/5f929fa0-455d-438c-80e4-f6f33b8019e5.png
CLU,"STEPHENS, DE'SHAWN",P006618,USA,https://media-cdn.incrowdsports.com/bd105876-ac13-4847-9aa7-a81c0ce97024.png
LKB,"BICKAUSKIS, DOVIS",P009898,LTU,https://media-cdn.incrowdsports.com/b2a30d7b-80ac-45e5-8eb9-251c47d7e7ed.png
LKB,"KOVLIAR, OLEKSANDR",P013247,UKR,https://media-cdn.incrowdsports.com/4d20a195-1785-40cc-b3ca-7b839c372c90.png
LKB,"LIPKEVICIUS, VYTENIS",PLXI,LTU,https://media-cdn.incrowdsports.com/f2d4935b-49b7-4e79-a103-97ffdcbc008c.png
LKB,"MALDUNAS, GABRIELIUS",P010461,LTU,https://media-cdn.incrowdsports.com/6d450c55-5011-47dc-9d80-38fbe26826f2.png
LKB,"PECARSKI, MARKO",P005656,SRB,https://media-cdn.incrowdsports.com/cfd92183-5d2f-4337-b241-148b976ecb2f.png
LKB,"RUBSTAVICIUS, MANTAS",P009299,LTU,https://media-cdn.incrowdsports.com/6e494d22-5464-434f-9d73-1ecddb81e0d1.png
LKB,"STENIONIS, DOMINYKAS",P010181,LTU,https://media-cdn.incrowdsports.com/0ff5c4f8-d3f2-462c-b58f-a4b390cd9e62.png
LKB,"STIPANOVIC, ANDRIJA",P005113,CRO,https://media-cdn.incrowdsports.com/75f9edc8-fea1-4f45-9932-6e9dc0302f6c.png
LKB,"VARNAS, MARTYNAS",P005521,LTU,https://media-cdn.incrowdsports.com/f965073c-9966-4358-8884-7c06d880cfdd.png
LKB,"VASILIAUSKAS, GRANTAS",P006212,LTU,https://media-cdn.incrowdsports.com/e5194a57-89d3-4bf8-acc2-5cb0cb5f7562.png
HAM,"BARNETT, JORDAN",P013312,USA,https://media-cdn.incrowdsports.com/c15fe714-7ff7-40df-8db3-72ad244adabf.png
HAM,"HECKMANN, PATRICK",P006420,GER,https://media-cdn.incrowdsports.com/869361ed-b661-4c3b-a1fd-60cce47b3942.png
HAM,"IVEY, BRAE",P013308,USA,https://media-cdn.incrowdsports.com/b345f755-b6e2-4407-bf4f-d3b43200d1c3.png
HAM,"KENNEDY, KEONDRE",P013311,USA,https://media-cdn.incrowdsports.com/5ee43750-62e7-4da5-9860-83f1e1891ca4.png
HAM,"KUATH, KUR",P013313,USA,https://media-cdn.incrowdsports.com/cf613784-87cc-4bf1-83e4-da8b30cb6238.png
HAM,"MARONKA, ZSOMBOR",P008103,HUN,https://media-cdn.incrowdsports.com/9921754e-a88e-481a-813a-448ab9bdee7c.png
HAM,"MOELLER, LEIF",P010070,GER,https://media-cdn.incrowdsports.com/cc559358-d061-409c-b9f4-3e1db0a54c2b.png
HAM,"OGBE, KENNETH",P003242,GER,https://media-cdn.incrowdsports.com/76252bf2-347b-4d61-b674-d76f6a5d8fc0.png
HAM,"REECE, CAMRON",P012695,USA,https://media-cdn.incrowdsports.com/cd60eb65-2fb8-4bd9-b357-7f58d7c50a98.png
HAM,"RICH, OSARO",P011256,GER,https://media-cdn.incrowdsports.com/541666bd-c515-4ed8-b17f-b4154f0423ce.png
HAM,"TURUDIC, BENEDIKT",P006006,GER,https://media-cdn.incrowdsports.com/535a1d83-23ae-456c-b6e0-dd8823b85500.png
HAM,"WIMBERG, NIKLAS",P005478,GER,https://media-cdn.incrowdsports.com/3f137117-7b85-4da1-9776-534a4597a618.png
ARI,"BANKS, JAMES",P013248,USA,https://media-cdn.incrowdsports.com/7393a20b-b3ad-40f6-83d7-d862e68d82ca.png
ARI,"BOCHORIDIS, ELEFTHERIOS",P003240,GRE,https://media-cdn.incrowdsports.com/e6713ba7-ff50-491b-925f-0097774e28ad.png
ARI,"CHATZIDAKIS, EMMANOUIL",P013355,GRE,https://media-cdn.incrowdsports.com/9f9c0982-6463-4e58-a2dc-50a42d6ca21e.png
ARI,"GKIOUZELIS, GEORGIOS",P013356,GRE,https://media-cdn.incrowdsports.com/737521ff-c0ef-4cfd-9f8a-2c2f432b3cea.png
ARI,"HODGE, D MOI",P013253,IVB,https://media-cdn.incrowdsports.com/1e549869-bbf3-4c51-bf17-d6106974bfcf.png
ARI,"KAZAMIAS, VASILLIS",P012638,GRE,https://media-cdn.incrowdsports.com/7bc880e8-b409-4bb1-b10d-ef609c326a34.png
ARI,"POURLIDAS, VASSILIS",P013049,GRE,https://media-cdn.incrowdsports.com/be6510dd-715f-4e68-8e0b-e14eba103988.png
ARI,"ROBERTS, JOSHUA",P013252,USA,https://media-cdn.incrowdsports.com/d20a72a8-3b62-40fb-abd1-4bbecadd13fa.png
ARI,"TOLIOPOULOS, VASSILIS",P004292,GRE,https://media-cdn.incrowdsports.com/463d6ebf-adb6-47f9-a277-fadc8e5769f9.png
ARI,"WOODBURY, TREY",P013251,USA,https://media-cdn.incrowdsports.com/0481a433-c556-4f4e-8ffb-e2e962783abf.png
PAM,"BADIO, BRANCOU",P007527,SEN,https://media-cdn.incrowdsports.com/a0c0a3a9-e333-489a-b342-935648b3d9fc.png
PAM,"COSTELLO, MATTHEW",P010444,IVO,https://media-cdn.incrowdsports.com/cca68c8b-f1c3-4502-bb2f-f84e76c4a6ee.png
