Gamecode,CODETEAM,J1,TIME,DELTA_SCORE,OFF,DEF
10,LKB,P010461,18.401,0,33,33
10,LKB,P013247,23.917,4,46,42
10,LKB,PLXI,23.667,-12,31,43
10,TTK,P004056,13.618,4,28,24
10,TTK,P004218,17.1,-1,29,30
10,TTK,P004619,3.933,5,9,4
10,TTK,P006598,23.0,4,41,37
10,TTK,P007917,4.7,-1,7,8
10,TTK,P009025,32.018,6,56,50
10,TTK,P011935,25.634,-2,43,45
10,TTK,P011973,27.885,-1,49,50
10,TTK,P012259,25.017,-4,42,46
10,TTK,P012415,10.1,8,23,15
10,TTK,P013300,17.0,12,33,21
11,TRN,P002387,10.9,-6,19,25
11,TRN,P005438,17.034,6,38,32
11,TRN,P006382,11.35,0,21,21
11,TRN,P006724,19.633,14,44,30
11,TRN,P012593,26.366,-3,53,56
11,TRN,P012687,16.082,3,35,32
11,TRN,P013269,20.299,3,42,39
11,TRN,P013270,28.866,9,63,54
11,TRN,P013271,20.366,-8,40,48
11,TRN,P013272,29.099,12,65,53
11,TSO,P008790,18.836,-7,36,43
11,TSO,P009649,31.252,-9,60,69
11,TSO,P012019,33.319,-3,66,69
11,TSO,P013292,6.7,-8,11,19
11,TSO,P013293,23.269,-14,39,53
11,TSO,P013295,24.635,-5,45,50
11,TSO,P013296,10.784,-1,22,23
11,TSO,P013297,25.751,1,53,52
11,TSO,P013298,25.469,16,58,42
12,BUD,P005637,8.983,-23,8,31
12,BUD,P006566,20.3,3,45,42
12,BUD,P008325,34.516,23,77,54
12,BUD,P011150,36.299,6,71,65
12,BUD,P011281,35.649,15,78,63
12,BUD,P012606,9.617,-18,8,26
12,BUD,P012630,17.149,-6,30,36
12,BUD,P013256,35.716,20,78,58
12,BUD,P013258,16.283,-9,26,35
12,BUD,P013259,10.483,-26,9,35
12,CAN,P003425,23.549,1,45,44
12,CAN,P005005,9.117,13,22,9
12,CAN,P006588,22.65,-1,48,49
12,CAN,P007560,0.3,0,0,0
12,CAN,P008121,35.883,-10,67,77
12,CAN,P008966,25.233,6,47,41
12,CAN,P010452,21.85,4,41,37
12,CAN,P010623,22.734,-1,44,45
12,CAN,P011251,26.917,-9,55,64
12,CAN,P012016,19.767,-3,42,45
12,CAN,P012095,17.0,15,34,19
13,BAH,P003840,26.251,17,57,40
13,BAH,P004172,19.718,10,44,34
13,BAH,P009601,25.318,14,58,44
13,BAH,P011192,26.485,19,63,44
13,BAH,P011201,20.934,7,40,33
13,BAH,P011821,26.618,10,57,47
13,BAH,P011823,21.368,20,50,30
13,BAH,P012405,11.733,-4,19,23
13,BAH,P012711,21.585,12,47,35
13,BES,P003783,21.467,-6,36,42
13,BES,P007914,19.4,-4,37,41
13,BES,P008945,22.017,-15,40,55
13,BES,P009680,19.2,-19,30,49
13,BES,P010652,22.484,-10,35,45
13,BES,P011379,13.216,-5,23,28
13,BES,P011924,15.733,-10,25,35
13,BES,P011927,19.233,0,33,33
13,BES,P011936,19.7,-14,30,44
13,BES,P013255,27.55,-22,41,63
14,HTA,P001927,26.617,7,58,51
14,HTA,P004846,22.65,4,52,48
14,HTA,P005181,23.55,5,53,48
14,HTA,P009818,7.25,0,17,17
14,HTA,P010386,9.317,-4,19,23
14,HTA,P010550,28.617,6,63,57
14,HTA,P011157,30.566,8,69,61
14,HTA,P012096,13.133,-7,26,33
14,HTA,P013283,10.083,-5,22,27
14,HTA,P013284,28.217,11,66,55
14,WOL,P003212,5.783,-2,13,15
14,WOL,P004645,23.567,-2,47,49
14,WOL,P005516,14.317,-3,32,35
14,WOL,P006853,20.783,1,45,44
14,WOL,P008186,13.884,2,32,30
14,WOL,P009306,10.584,-12,19,31
14,WOL,P011248,26.435,-3,55,58
14,WOL,P012003,32.368,-4,64,68
14,WOL,P012577,25.484,6,59,53
14,WOL,P012789,26.8,-8,54,62
15,JOV,P002361,17.849,4,40,36
15,JOV,P002507,20.949,1,47,46
15,JOV,P004834,18.816,-5,36,41
15,JOV,P006771,10.4,-15,13,28
15,JOV,P010161,17.282,0,29,29
15,JOV,P012349,14.199,-11,25,36
15,JOV,P012740,25.965,-6,58,64
15,JOV,P013285,26.733,5,55,50
15,JOV,P013286,3.983,-5,7,12
15,JOV,P013287,25.799,7,58,51
15,JOV,PJUG,18.015,5,47,42
15,ULM,P006245,23.583,0,55,55
15,ULM,P006997,21.7,0,46,46
15,ULM,P007952,10.767,3,27,24
15,ULM,P010726,14.233,3,30,27
15,ULM,P011391,18.3,4,41,37
15,ULM,P011437,24.284,0,53,53
15,ULM,P012077,17.9,5,36,31
15,ULM,P012602,11.133,2,23,21
15,ULM,P013289,5.8,4,13,9
15,ULM,P013290,28.867,2,64,62
15,ULM,P013291,23.433,-3,47,50
16,JER,P006625,31.034,24,81,57
16,JER,P008912,18.851,-9,34,43
16,JER,P010431,19.384,29,55,26
16,JER,P010587,28.65,15,73,58
16,JER,P011970,30.034,22,73,51
16,JER,P013276,21.101,23,54,31
16,JER,P013277,20.567,-7,39,46
16,JER,P013278,12.567,-14,21,35
16,JER,P013279,12.367,10,26,16
16,JER,P013281,5.45,7,14,7
16,LKB,P005113,20.95,2,44,42
16,LKB,P005521,21.4,-3,40,43
16,LKB,P005656,20.95,10,47,37
16,LKB,P006586,22.85,-24,36,60
16,LKB,P006860,11.117,-12,17,29
16,LKB,P009299,21.333,-7,44,51
16,LKB,P009898,19.55,-18,33,51
16,LKB,P010461,19.05,-22,30,52
16,LKB,P013247,22.317,-1,45,46
16,LKB,PLXI,20.483,-25,34,59
17,ARI,P003240,19.999,-4,28,32
17,ARI,P004292,24.098,0,38,38
17,ARI,P008084,30.282,-3,52,55
17,ARI,P013049,0.067,2,2,0
17,ARI,P013248,12.066,5,27,22
17,ARI,P013249,26.264,-3,46,49
17,ARI,P013250,27.482,-8,44,52
17,ARI,P013251,19.266,2,31,29
17,ARI,P013252,23.266,-6,32,38
17,ARI,P013355,4.25,-4,2,6
17,ARI,P013356,9.834,-1,13,14
17,ARI,P013360,3.116,-5,0,5
17,TTK,P004056,14.633,0,27,27
17,TTK,P004218,19.533,2,32,30
17,TTK,P004619,2.6,1,6,5
17,TTK,P006598,29.3,16,54,38
17,TTK,P007917,6.883,-2,10,12
17,TTK,P009025,34.666,7,62,55
17,TTK,P011935,11.217,7,17,10
17,TTK,P011973,33.283,2,57,55
17,TTK,P012259,18.617,-8,32,40
17,TTK,P012415,1.617,-1,0,1
17,TTK,P013300,27.651,1,43,42
18,LJU,P003452,25.232,3,58,55
18,LJU,P003703,27.199,5,56,51
18,LJU,P009392,20.899,14,51,37
18,LJU,P009753,20.599,-6,39,45
18,LJU,P012042,29.231,3,64,61
18,LJU,P012700,19.716,-13,34,47
18,LJU,P012996,2.033,-2,5,7
18,LJU,P013260,15.649,3,37,34
18,LJU,P013261,11.899,1,25,24
18,LJU,P013262,10.317,5,24,19
18,LJU,P013263,17.216,12,42,30
18,VNC,P003759,7.417,-9,10,19
18,VNC,P005404,31.6,1,71,70
18,VNC,P006571,1.05,-3,0,3
18,VNC,P008052,20.217,-15,38,53
18,VNC,P008858,31.983,-9,63,72
18,VNC,P009400,18.534,-1,39,40
18,VNC,P011909,23.884,10,53,43
18,VNC,P011928,21.883,10,53,43
18,VNC,P012796,29.416,7,63,56
18,VNC,P013305,14.016,-16,20,36
19,BOU,P004525,20.349,11,46,35
19,BOU,P004945,5.35,-2,9,11
19,BOU,P006904,19.316,-2,36,38
19,BOU,P009552,16.749,4,31,27
19,BOU,P009556,9.816,9,21,12
19,BOU,P010449,20.683,13,48,35
19,BOU,P010450,17.35,4,35,31
19,BOU,P011837,22.067,6,50,44
19,BOU,P013264,20.833,1,41,40
19,BOU,P013265,22.949,8,50,42
19,BOU,P013266,24.533,3,53,50
19,CLU,P002820,23.517,-1,46,47
19,CLU,P004862,13.15,-17,17,34
19,CLU,P005714,16.133,-13,26,39
19,CLU,P006618,22.533,-13,39,52
19,CLU,P010651,15.05,-2,28,30
19,CLU,P011801,15.95,-23,17,40
19,CLU,P012620,14.533,-7,26,33
19,CLU,P012698,24.8,4,52,48
19,CLU,P013302,29.667,7,62,55
19,CLU,P013304,24.667,10,52,42
