RANK,CODETEAM,PLAYER,NUMBER,PLAYER_ID,NB_GAME,TIME_ON,PER,IRS,NOTE
248,ASV,"JACKSON, EDWIN",11,P000229,11,178.0,6.68,0.501,66.6
249,ASV,"KAHUDI, CHARLES",5,PKIR,13,168.55,5.61,0.432,66.4
250,VIR,"TUCKER, RAYJON",59,P012591,15,113.65,4.57,0.429,66.4
251,VIR,"AKELE, NICOLA",45,P011816,8,48.03,3.04,0.439,66.4
252,ULK,"MCCOLLUM, ERRICK",0,P005216,1,18.67,0.85,0.197,65.9
253,OLY,"PETRUSEV, FILIP",30,P011194,4,43.46,0.45,0.068,65.6
254,ULK,"MAHMUTOGLU, MELIH",10,P002969,5,30.9,0.45,0.081,65.6
255,TEL,"KABA, ALPHA",7,P007855,4,7.85,0.05,0.018,65.4
256,IST,"HOLLATZ, JUSTUS",21,P009513,11,70.03,-0.8,-0.096,65.2
257,IST,"ONCEL, RIDVAN",10,P010400,2,13.58,-0.87,-0.236,64.9
258,BER,"DOERRIES, AMON",22,P011626,3,24.47,-1.35,-0.273,64.8
259,MUN,"BITIM, ONURALP",17,P007929,10,96.0,-2.47,-0.252,64.8
260,ASV,"PAUL, MBIYA",34,P013377,4,9.92,-1.07,-0.34,64.6
261,PRS,"HERRERA, SEBASTIAN",7,P012611,5,47.1,-2.32,-0.338,64.6
262,OLY,"MITROU-LONG, NAZ",3,P011965,1,3.67,-0.75,-0.392,64.5
263,BER,"MATTISSECK, JONAS",9,P007025,18,275.94,-6.45,-0.388,64.5
264,MAD,"GONZALEZ, HUGO",9,P011649,16,103.32,-4.94,-0.486,64.3
265,ZAL,"WALLACE, TYRONE",1,P011925,2,22.35,-2.62,-0.554,64.1
266,MUN,"KHARCHENKOV, IVAN",10,P012123,15,119.53,-6.26,-0.572,64.1
267,PRS,"KRATZER, LEON",8,P004512,17,165.95,-7.35,-0.571,64.1
268,VIR,"VISCONTI, RICCARDO",9,P006273,1,0.12,-0.2,-0.585,64.0
269,MCO,"BEGARIN, JUHANN",23,P008161,7,23.4,-2.9,-0.6,64.0
270,ULK,"EKSIOGLU, MERT",15,P008174,3,9.72,-1.95,-0.626,63.9
271,ZAL,"LEKAVICIUS, LUKAS",4,P003210,10,72.1,-5.89,-0.694,63.8
272,ULK,"WILBEKIN, SCOTTIE",3,P006661,1,2.08,-1.05,-0.727,63.7
273,TEL,"MAYER, OMER",10,P011433,2,19.13,-3.12,-0.713,63.7
274,MAD,"GUEYE, SIDI",15,P012168,3,4.75,-1.9,-0.872,63.4
275,BER,"GROSBER, DORIAN",2,P012099,3,5.9,-2.17,-0.893,63.3
276,BER,"NUFER, ANTON",8,P012100,6,22.4,-4.35,-0.919,63.2
277,BAS,"SAVKOV, PAVEL",6,P010784,3,13.15,-3.6,-0.993,63.1
278,OLY,"MENSAH, NATHAN",31,P013514,2,5.58,-2.7,-1.143,62.7
279,MAD,"DURU, DECLAN",2,P012199,1,0.95,-1.15,-1.18,62.6
280,ULK,"BIRSEN, METECAN",1,P003091,1,1.58,-1.65,-1.311,62.3
281,MIL,"MC CORMACK, DAVID",35,P013386,6,37.95,-8.12,-1.318,62.3
282,ZAL,"JUZENAS, MANTAS",0,P012181,1,0.68,-1.25,-1.513,61.9
283,ASV,"SISSOKO, YOHANN",30,P012263,3,10.12,-5.05,-1.588,61.7
