Season,ROUND,Gamecode,TEAM,OPPONENT,WIN,HOME,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24
2025,12,114,PAN,DUB,YES,YES,7,14,16,25,29,31,36,45,45,54,64,75,85,95,99,103,,,,,,,,
2025,12,114,DUB,PAN,NO,NO,4,14,22,24,28,32,36,48,48,57,61,62,62,71,77,82,,,,,,,,
2025,12,115,MAD,ZAL,YES,YES,4,10,18,22,28,33,37,43,47,47,57,62,69,81,87,100,,,,,,,,
2025,12,115,ZAL,MAD,NO,NO,4,5,10,16,22,25,33,37,45,54,58,62,72,79,81,99,,,,,,,,
2025,12,116,BAS,MUN,YES,YES,0,6,10,14,20,31,35,42,45,51,61,67,69,81,86,95,,,,,,,,
2025,12,116,MUN,BAS,NO,NO,7,15,23,26,28,31,36,41,45,50,57,59,62,64,68,73,,,,,,,,
2025,12,117,OLY,PRS,YES,YES,5,11,16,21,31,41,47,58,63,65,71,75,79,81,91,98,,,,,,,,
2025,12,117,PRS,OLY,NO,NO,5,10,18,29,33,38,41,49,53,56,61,69,73,78,81,86,,,,,,,,
2025,12,118,PAR,ULK,NO,YES,0,0,4,11,18,24,30,39,48,56,64,68,72,74,79,87,,,,,,,,
2025,12,118,ULK,PAR,YES,NO,5,14,17,24,34,38,48,56,58,62,71,75,81,87,95,99,,,,,,,,
2025,12,119,PAM,RED,YES,YES,5,11,19,26,30,33,40,49,52,52,60,60,63,66,72,76,,,,,,,,
2025,12,119,RED,PAM,NO,NO,3,11,19,26,28,30,36,39,46,53,58,60,62,65,69,73,,,,,,,,
2025,12,120,VIR,TEL,YES,YES,4,14,21,26,32,40,51,56,62,70,76,80,85,90,90,99,,,,,,,,
2025,12,120,TEL,VIR,NO,NO,3,7,17,24,33,35,40,45,52,59,63,66,71,76,80,89,,,,,,,,
2025,13,121,DUB,PRS,YES,YES,4,10,13,17,22,30,38,46,48,53,57,59,64,71,80,90,,,,,,,,
2025,13,121,PRS,DUB,NO,NO,13,22,27,32,36,40,43,45,51,59,63,66,71,73,79,89,,,,,,,,
2025,13,122,HTA,MAD,NO,YES,3,13,16,18,24,29,31,36,40,48,53,58,60,69,71,74,,,,,,,,
2025,13,122,MAD,HTA,YES,NO,8,10,20,22,30,33,35,39,46,49,52,60,67,69,71,75,,,,,,,,
2025,13,123,PAN,PAR,YES,YES,6,10,17,27,33,35,40,48,50,56,66,73,79,82,85,91,,,,,,,,
2025,13,123,PAR,PAN,NO,NO,6,10,20,31,35,39,39,44,48,50,50,50,52,56,60,69,,,,,,,,
2025,13,124,PAM,MUN,YES,YES,3,8,17,19,23,28,33,41,46,57,64,68,70,78,84,90,,,,,,,,
2025,13,124,MUN,PAM,NO,NO,2,9,14,21,27,35,35,37,39,41,44,49,55,57,59,64,,,,,,,,
2025,13,125,ZAL,BAS,YES,YES,2,4,12,18,21,29,32,37,40,42,50,54,63,71,76,82,,,,,,,,
2025,13,125,BAS,ZAL,NO,NO,4,12,17,24,28,32,39,42,46,49,52,54,57,59,61,67,,,,,,,,
2025,13,126,ULK,VIR,YES,YES,0,8,10,15,19,19,23,30,32,36,42,50,52,57,60,66,,,,,,,,
2025,13,126,VIR,ULK,NO,NO,2,6,8,17,20,24,28,31,31,39,44,47,55,57,59,64,,,,,,,,
2025,13,127,MCO,IST,YES,YES,8,12,18,25,30,36,43,50,54,60,63,70,80,88,91,102,,,,,,,,
2025,13,127,IST,MCO,NO,NO,4,10,19,22,31,34,41,43,46,49,49,53,60,60,64,66,,,,,,,,
2025,13,128,RED,OLY,YES,YES,8,12,16,21,27,30,33,37,44,48,51,59,69,74,82,91,,,,,,,,
2025,13,128,OLY,RED,NO,NO,2,8,12,15,27,27,31,38,49,57,60,65,65,71,77,80,,,,,,,,
2025,13,129,BAR,ASV,YES,YES,6,8,12,20,25,31,39,45,51,56,59,68,71,75,84,88,,,,,,,,
2025,13,129,ASV,BAR,NO,NO,7,10,12,19,21,35,37,44,48,57,61,65,67,69,71,78,,,,,,,,
2025,13,130,TEL,MIL,NO,YES,5,11,17,25,32,42,44,48,56,57,60,62,68,74,76,88,,,,,,,,
2025,13,130,MIL,TEL,YES,NO,11,16,24,27,32,42,46,54,56,64,70,79,87,95,102,102,,,,,,,,
2025,14,131,MCO,PRS,YES,YES,8,12,24,35,38,49,51,58,65,77,84,91,100,111,118,125,,,,,,,,
2025,14,131,PRS,MCO,NO,NO,4,13,19,29,31,33,38,46,52,55,63,70,81,86,95,104,,,,,,,,
2025,14,135,ZAL,TEL,NO,YES,4,8,12,14,19,24,29,30,30,36,36,46,46,51,58,65,,,,,,,,
2025,14,135,TEL,ZAL,YES,NO,5,8,16,22,27,29,41,51,55,55,58,60,69,74,77,83,,,,,,,,
2025,14,136,IST,MAD,NO,YES,6,12,15,17,22,29,33,41,43,46,54,59,64,69,69,75,,,,,,,,
2025,14,136,MAD,IST,YES,NO,5,10,15,17,21,27,31,37,40,45,54,60,65,71,74,81,,,,,,,,
