N_MATCH;Nom;Prenom;TOT_PTS_FANTASY;Class. FANTASY;Pick de Draft;POINT FANTASY THEORIQUE;DELTA
12;WRIGHT IV; MCKINLEY;150,4;54;91;112,7;37,7
12;VESELY; JAN;143,5;60;98;105,7;37,8
12;HACKETT; DANIEL;45,1;182;ND;33,9;11,2
10;GARUBA; USMAN;44,6;183;ND;33,3;11,3
11;FRISCH; CLEMENT;45,7;181;ND;34,2;11,5
5;LEDAY; ZACH;95,3;111;9;223,7;-128,4
12;CALE; MYLES;38;192;ND;26,4;11,6
12;WRIGHT; MOSES;206,2;15;39;164,7;41,5
12;BALDWIN IV; WADE;208,8;13;36;166,3;42,5
10;KAMENJAS; KENAN;50,4;171;ND;38;12,4
8;KURUCS; RODIONS;49,2;174;ND;36,8;12,4
12;DAVIDOVAC; DEJAN;50,5;170;ND;38;12,5
8;DIBARTOLOMEO; JOHN;50;172;ND;37,4;12,6
8;MARINKOVIC; VANJA;42;186;ND;29,2;12,8
10;PREPELIC; KLEMEN;53,7;166;ND;40,9;12,8
9;DIARRA; ALIOU;48,1;179;ND;35,1;13
7;KONDIC; KOSTA;40,9;189;ND;27,9;13
12;NEDOVIC; NEMANJA;47,9;180;ND;34,7;13,2
12;VAUTIER; BASTIEN;52,9;167;ND;39,4;13,5
11;CAVALIERE; LEOPOLD;41,7;187;ND;27,9;13,8
12;SHENGELIA; TORNIKE;211,8;11;34;167;44,8
9;BALDWIN; KAMAR;55,9;165;ND;41,3;14,6
10;FELIZ; ANDRES;56,4;164;ND;41,7;14,7
9;ROGKAVOPOULOS; NIKOLAOS;57,8;163;ND;42;15,8
12;WAINRIGHT; ISH;64,7;150;ND;48,9;15,8
3;FARIED; KENNETH;74,8;131;ND;59;15,8
7;DOZIER; PJ;64,4;151;ND;48,5;15,9
4;FORREST; TRENT;74;133;ND;56,4;17,6
10;DUNSTON; BRYANT;61,1;156;ND;45,1;16
10;MORGAN; JEREMY;75,6;130;ND;59,5;16,1
12;SIRVYDIS; DEIVIDAS;64,2;152;ND;48,1;16,1
12;MASSA; BODIAN;64,1;153;ND;47,9;16,2
