Points_max,Points_second_largest,Points_third_largest,OffensiveRebounds_max,OffensiveRebounds_second_largest,OffensiveRebounds_third_largest,DefensiveRebounds_max,DefensiveRebounds_second_largest,DefensiveRebounds_third_largest,TotalRebounds_max,TotalRebounds_second_largest,TotalRebounds_third_largest,Assistances_max,Assistances_second_largest,Assistances_third_largest,Steals_max,Steals_second_largest,Steals_third_largest,Turnovers_max,Turnovers_second_largest,Turnovers_third_largest,WINNER
30,20,14,5,3,2,5,4,4,9,7,4,6,3,2,2,1,1,4,2,2,False
18,18,18,2,1,1,4,3,3,5,4,3,7,4,4,3,1,1,3,2,2,True
18,11,10,4,3,3,6,4,3,10,6,5,6,2,1,2,1,0,5,3,2,False
15,15,12,3,2,1,6,3,3,6,6,5,6,2,1,3,2,2,5,3,2,True
12,12,10,2,2,1,6,4,4,6,6,5,2,2,2,2,1,1,2,1,1,True
14,13,11,2,2,1,7,7,5,7,7,6,7,3,3,2,1,1,3,2,2,False
21,17,15,5,3,2,10,2,2,13,7,3,7,3,2,2,1,1,4,2,2,True
16,12,8,3,2,2,5,3,3,7,5,4,2,2,1,2,2,1,3,2,2,False
22,14,13,3,2,1,4,4,3,7,4,4,8,5,4,2,1,1,4,4,2,True
14,14,13,5,5,2,5,2,2,6,6,5,9,6,3,2,2,2,2,1,1,False
15,15,11,6,3,2,6,4,3,12,6,6,7,4,2,2,1,1,5,4,2,False
22,12,12,1,1,1,4,4,4,4,4,4,13,9,5,2,1,1,4,2,2,True
17,14,13,2,2,1,6,5,4,7,6,4,3,2,2,1,1,0,6,2,1,False
19,15,10,3,1,1,4,3,3,6,4,4,4,3,3,3,2,1,2,1,1,True
20,13,9,2,1,1,6,6,2,7,6,4,7,2,2,2,1,1,3,3,2,False
23,19,13,3,2,1,7,6,5,10,8,5,8,3,3,3,1,1,4,2,2,True
18,17,10,3,2,2,7,6,3,9,8,5,9,2,1,4,4,1,4,3,2,False
32,18,5,4,2,2,7,5,5,9,7,7,4,3,2,3,2,1,5,3,3,True
28,14,11,3,3,2,7,4,2,8,6,5,7,4,3,1,1,1,3,2,2,False
16,14,11,3,2,1,5,3,2,6,4,3,7,5,2,2,2,1,3,2,2,True
24,16,10,5,3,3,4,3,2,7,6,6,5,2,1,2,2,1,5,4,2,False
23,14,12,6,4,4,5,3,3,8,6,5,4,3,2,3,2,1,4,3,2,True
18,17,12,4,2,2,4,4,3,7,5,5,5,2,1,2,1,0,3,2,2,False
22,14,14,2,1,1,5,4,3,6,6,4,9,4,3,4,1,1,2,2,1,True
20,14,13,3,2,0,6,5,5,7,6,5,7,1,1,2,1,0,5,3,2,False
23,12,11,3,1,1,8,5,3,9,8,3,7,3,2,3,2,2,2,2,1,True
26,12,9,4,2,2,6,5,3,7,7,5,7,2,2,3,2,1,5,2,1,False
24,17,14,2,1,1,4,3,3,6,4,4,6,4,3,2,1,1,2,2,1,True
16,14,14,6,4,2,8,7,3,14,11,4,4,3,2,2,0,0,3,3,1,False
19,16,15,4,3,2,9,7,3,11,9,4,3,3,2,2,1,1,2,1,1,True
17,16,15,5,2,2,7,4,3,12,6,5,5,3,2,2,1,1,3,2,2,False
28,21,12,3,3,2,4,3,3,6,5,5,5,3,3,2,2,1,4,3,3,True
19,15,14,2,1,1,4,3,3,5,4,3,10,3,3,2,1,1,2,2,2,True
24,24,18,5,2,2,7,3,3,9,8,5,7,4,3,1,1,1,2,2,1,False
